CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source
101000474248,09/05/2012 02:46:08 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,43-47 O St  South Boston  MA  02127,6,05,2,C6,South Boston / South Boston Waterfront,5,Ward 6,607,CM,43-47 O St,02127,42.336769,-71.029401,Constituent Call
101000473919,09/04/2012 11:49:51 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,33 Cunningham St  Dorchester  MA  02125,7,03,7,B2,Roxbury,13,Ward 13,1304,R3,33 Cunningham St,02125,42.31451,-71.07487,Constituent Call
101000473141,09/01/2012 07:33:09 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,7 Phillips St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,504,CM,7 Phillips St,02114,42.3604,-71.06677,Constituent Call
101000473007,09/01/2012 11:58:58 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,8 Hall St  Jamaica Plain  MA  02130,9,02,6,E13,Jamaica Plain,11,Ward 11,1110,CM,8 Hall St,02130,42.30497,-71.11428,Constituent Call
101000472663,08/31/2012 02:13:59 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,45 Hemenway St  Boston  MA  02115,4,10A,8,D4,Fenway / Kenmore / Audubon Circle / Longwood,14,Ward 4,407,CM,45 Hemenway St,02115,42.34537,-71.08978,Constituent Call
101000472499,08/31/2012 11:08:41 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,4 Goodwin Pl  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,504,CD,4 Goodwin Pl,02114,42.35988,-71.06918,Constituent Call
101000472151,08/30/2012 05:52:52 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,81 Charles St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,511,RC,81 Charles St,02114,42.35843,-71.07045,Constituent Call
101000471889,08/30/2012 11:28:19 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,47 Revere St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,504,A,47 Revere St,02114,42.35965,-71.06814,Constituent Call
101000471816,08/30/2012 10:22:44 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,101 Etna St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2203,R2,101 Etna St,02135,42.352373,-71.148504,Constituent Call
101000471716,08/30/2012 08:55:07 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,1 City Hall Plz  Boston  MA  02108,3,1B,1,A1,Downtown / Financial District,3,03,306,E,1 City Hall Plz,02108,42.36042,-71.058274,Self Service
